ʾAlṭunbughā al-Qirmishī 221	ʾamīr (Dimashq/Damascus)
ʾAlṭunbughā al-Qirmishī 221	ḥājib ḥujjāb (Ḥalab/Aleppo)
ʾAlṭunbughā al-Qirmishī 221	ʾamīr 100 (al-Qāhira/Cairo)
Timurbāy al-Ẓāhirī Ṭaṭar 224	ʾamīr 010 (al-Qāhira/Cairo)
Timurbāy al-Ẓāhirī Ṭaṭar 224	ʾamīr 100 (al-Qāhira/Cairo)
ʾAqṭūh al-Mūsāwī 226	ʾamīr 010 (al-Qāhira/Cairo)
ʾAqṭūh al-Mūsāwī 226	ʾamīr 040 (al-Qāhira/Cairo)
ʾAqṭūh al-Mūsāwī 226	baṭṭāl
ʾAqṭūh al-Mūsāwī 226	ʾamīr 010 (al-Qāhira/Cairo)
Tanam al-Muʾayyadī 227	ʾamīr 010 (al-Qāhira/Cairo)
Tanam al-Muʾayyadī 227	ʾamīr 100 (al-Qāhira/Cairo)
Tanam al-Muʾayyadī 227	khāṣṣakīya (sulṭān)
Tanam al-Muʾayyadī 227	baṭṭāl
Yashbak min ʾAzūbāy 228	ʾamīr 010 (al-Qāhira/Cairo)
Bāyzīr min Ṣafar Khujā 229	ʾamīr 010 (al-Qāhira/Cairo)
ʾAqbirdī al-ʾAshrafī 230	ʾamīr 010 (al-Qāhira/Cairo)
ʾAqbirdī al-ʾAshrafī 230	ʾamīr ʾākhūr (small) (sulṭān)
Ṭūghān Qīz al-ʿAllānī 231	ʾamīr 010 (al-Qāhira/Cairo)
Ṭūghān Qīz al-ʿAllānī 231	ʾamīr 100 (Ḥalab/Aleppo)
Ṭūghān Qīz al-ʿAllānī 231	ʾatābak ʿasākir (Ḥalab/Aleppo)
Ṭūghān Qīz al-ʿAllānī 231	ʾamīr 100 (Dimashq/Damascus)
Ṭūghān Qīz al-ʿAllānī 231	ʾamīr (Dimashq/Damascus)
Ṭūghān Qīz al-ʿAllānī 231	baṭṭāl
Sūdūn Qarāqāsh al-ʾĪnālī 232	ʾamīr 010 (al-Qāhira/Cairo)
Sūdūn Qarāqāsh al-ʾĪnālī 232	ʾamīr rakb ʾawwal (al-Qāhira/Cairo)
Sūdūn Qarāqāsh al-ʾĪnālī 232	ʾamīr 100 (al-Qāhira/Cairo)
Sūdūn Qarāqāsh al-ʾĪnālī 232	ʾamīr 040 (al-Qāhira/Cairo)
Sūdūn Qarāqāsh al-ʾĪnālī 232	ʾamīr 020 (al-Qāhira/Cairo)
Sūdūn Qarāqāsh al-ʾĪnālī 232	mamālīk sulṭānīya (sulṭān)
Sūdūn Qarāqāsh al-ʾĪnālī 232	baṭṭāl
Sūdūn al-Nawrūzī 233	ʾamīr 010 (al-Qāhira/Cairo)
Sūdūn al-Nawrūzī 233	ʾamīr 100 (Ḥalab/Aleppo)
Jānibak al-Sayfī Nawrūz 234	ʾamīr 010 (al-Qāhira/Cairo)
Khushkaldī al-Nāṣirī 235	ʾamīr 010 (al-Qāhira/Cairo)
Baysaq al-Shaykhī 236	ʾamīr 040 (al-Qāhira/Cairo)
Baysaq al-Shaykhī 236	baṭṭāl
Ṭūghān al-ʿUthmānī 241	khāṣṣakīya (sulṭān)
Zayn al-Dīn al-Khāzindār 242	baṭṭāl
Sūdūn al-Qāḍī 246	ʾamīr 100 (al-Qāhira/Cairo)
Qujqār al-Qurdumī 247	baṭṭāl
Qujqār al-Qurdumī 247	ʾamīr 100 (al-Qāhira/Cairo)
