URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
SHURMIN_635E347N_S	Khurasan_RE	Šūrmīn	Shurmin	NA	towns	63.51568	34.72729	شورمين	شورمين	شورمين
SHUMAN_688E385N_S	Mawarannahr_RE	Šūmān	Shuman	NA	towns	68.82268	38.58166	شومان	شومان	شومان
SHAYZAR_365E352N_S	Sham_RE	Šayzar	Shayzar	NA	towns	36.55938	35.25585	شيزر	شيزر	شيزر
SABAT_687E399N_S	Mawarannahr_RE	Ṣābāṭ	Sabat	NA	towns	68.7622	39.99901	صاباط	صاباط	صاباط
SA_028W344N_S	Maghrib_RE	Ṣāʿ	Sa	NA	towns	-2.89875	34.41816	صاع	صاع	صاع
SABRAN_672E438N_S	Mawarannahr_RE	Ṣabrān	Sabran|Sawran	NA	towns	67.26184	43.82577	صبران	صبران|صوران	صبران
SABRA_124E327N_S	Barqa_RE	Ṣabraŧ	Sabra	NA	towns	12.48146	32.78822	صبرة	صبرة	صبرة
SAKHA_309E310N_S	Misr_RE	Ṣaḫā	Sakha	NA	towns	30.92519	31.08645	صخا	صخا	صخا
SARAFANDA_352E334N_S	Sham_RE	Ṣarafandaŧ	Sarafanda	NA	towns	35.28606	33.45495	صرفندة	صرفندة	صرفندة
SADA_437E169N_S	Yaman_RE	Ṣaʿdaŧ	Sada	NA	towns	43.76442	16.9453	صعدة	صعدة	صعدة
SUGHAR_354E310N_S	Sham_RE	Ṣuġar	Sughar|Zughar	NA	towns	35.46845	31.03706	صغر	صغر|زغر	صغر
SAFAD_355E329N_S	Sham_RE	Ṣafad	Safad	NA	towns	35.5194	32.972106	صفد	صفد	صفد
SANDAFA_311E309N_S	Misr_RE	Ṣandafā	Sandafa	NA	towns	31.16426	30.9689	صندفا	صندفا	صندفا
SANHAJA_055W352N_S	Maghrib_RE	Ṣanhāǧaŧ	Sanhaja	NA	towns	-5.52392	35.29674	صنهاجة	صنهاجة	صنهاجة
SAHIH_543E297N_S	Fars_RE	Ṣahīh	Sahih|Sahik	NA	towns	54.30902	29.77106	صهيه	صهيه|صاهك	صهيه
SUWWAR_406E354N_S	Aqur_RE	al-Ṣuwwār	al-Suwwar	NA	towns	40.65491	35.49287	الصوار	الصوار	صوار
SUR_352E332N_S	Sham_RE	Ṣūr	Sur	NA	towns	35.20796	33.26921	صور	صور	صور
SAYDA_353E335N_S	Sham_RE	Ṣaydāʾ	Sayda	NA	towns	35.37475	33.56642	صيداء	صيداء	صيداء
SIMAKAN_531E286N_S	Fars_RE	al-Ṣīmakān	al-Simakan	NA	towns	53.13182	28.69941	الصيمكان	الصيمكان	صيمكان
SAYMUR_730E185N_S	Sind_RE	Ṣaymūr	Saymur	NA	towns	73.04586	18.58187	صيمور	صيمور	صيمور
DANK_563E235N_S	JaziratArab_RE	Ḍank	Dank	NA	towns	56.30591	23.53023	ضنك	ضنك	ضنك
TABAN_407E361N_S	Aqur_RE	Ṭābān	Taban|Talaban	NA	towns	40.76153	36.16114	طابان	طابان|طلبان	طابان
TAQ_621E306N_S	Sijistan_RE	al-Ṭāq	al-Taq	NA	towns	62.12651	30.68777	الطاق	الطاق	طاق
TALAQAN_696E367N_S	Khurasan_RE	Ṭālaqān	Talaqan	NA	towns	69.62314	36.76021	طالقان	طالقان	طالقان
